Open,High,Low,Close,Volume,PreviousType
1.04945,1.04952,1.04919,1.04923,54,1
1.04945,1.04952,1.04919,1.04918,59,1
1.04945,1.04952,1.04914,1.04913,64,1
1.04945,1.04952,1.04904,1.04903,69,1
1.04945,1.04952,1.04903,1.04905,74,1
1.04945,1.04952,1.04903,1.04907,79,1
1.04945,1.04952,1.04903,1.04908,84,1
1.04945,1.04952,1.04902,1.04904,89,1
1.04945,1.04952,1.04902,1.0491,94,1
1.04945,1.04952,1.04902,1.04913,99,1
1.04945,1.04952,1.04902,1.04912,104,1
1.04945,1.04952,1.04902,1.0491,109,1
1.04945,1.04913,1.04913,1.04918,5,1
1.04913,1.04919,1.04913,1.04917,10,0
1.04913,1.04927,1.04913,1.04928,15,0
1.04913,1.04934,1.04913,1.04935,20,0
1.04913,1.04941,1.04913,1.0493999999999999,25,0
1.04913,1.04941,1.04913,1.04936,30,0
1.04913,1.04941,1.04913,1.04925,35,0
1.04913,1.04941,1.04913,1.04921,40,0
1.04913,1.04941,1.04913,1.04925,45,0
1.04913,1.04941,1.04913,1.04929,50,0
1.04913,1.04941,1.04913,1.04926,55,0
1.04913,1.04941,1.04913,1.04926,60,0
1.04913,1.04941,1.04913,1.04919,65,0
1.04913,1.04941,1.04913,1.04924,70,0
1.04913,1.04941,1.04913,1.04928,75,0
1.04913,1.04941,1.04913,1.04922,80,0
1.04913,1.04941,1.04913,1.04923,85,0
1.04913,1.04941,1.04913,1.04924,90,0
1.04913,1.04941,1.04913,1.04922,95,0
1.04913,1.04941,1.04913,1.04916,100,0
1.04913,1.04941,1.04913,1.04916,105,0
1.04913,1.04941,1.04913,1.04915,110,0
1.04913,1.04941,1.04913,1.04917,115,0
1.04913,1.04941,1.04913,1.04915,120,0
1.04913,1.04941,1.04912,1.04913,125,0
1.04913,1.04941,1.04911,1.04914,2,0
1.04914,1.04915,1.04914,1.04923,7,0
1.04914,1.04926,1.04914,1.04922,12,0
1.04914,1.04926,1.04914,1.04921,17,0
1.04914,1.04926,1.04914,1.04923,22,0
1.04914,1.04926,1.04914,1.04923,27,0
1.04914,1.04926,1.04914,1.04922,32,0
1.04914,1.04926,1.04914,1.04924,37,0
1.04914,1.04926,1.04914,1.04919,42,0
1.04914,1.04926,1.04914,1.04918,47,0
1.04914,1.04926,1.04914,1.04925,52,0
1.04914,1.04926,1.04914,1.04924,57,0
1.04914,1.04927,1.04914,1.04927,62,0
1.04914,1.04927,1.04914,1.04929,67,0
1.04914,1.04929,1.04914,1.04913,72,1
1.04914,1.04929,1.04912,1.04919,77,0
1.04914,1.04929,1.0491,1.04908,82,1
1.04914,1.04929,1.04906,1.04908,87,1
1.04914,1.04929,1.04908,1.04907,3,1
1.04908,1.04909,1.04907,1.0491,8,0
1.04908,1.04911,1.04907,1.04913,13,0
1.04908,1.04915,1.04906,1.04908,18,0
1.04908,1.04915,1.04906,1.04919,23,0
1.04908,1.0492,1.04906,1.04914,28,0
1.04908,1.0492,1.04906,1.04907,33,1
1.04908,1.0492,1.04906,1.0491,38,0
1.04908,1.0492,1.04906,1.04913,43,0
1.04908,1.0492,1.04905,1.04906,48,1
1.04908,1.0492,1.04905,1.04905,53,1
1.04908,1.0492,1.04904,1.04907,58,1
1.04908,1.0492,1.04904,1.04913,63,0
1.04908,1.0492,1.04904,1.04913,68,0
1.04908,1.0492,1.04904,1.04912,73,0
1.04908,1.0492,1.04911,1.04913,3,0
1.04911,1.04914,1.04911,1.04912,8,0
1.04911,1.04914,1.04911,1.04914,13,0
1.04911,1.04921,1.04911,1.04922,18,0
1.04911,1.04923,1.04911,1.04921,23,0
1.04911,1.04923,1.04911,1.04912,28,0
1.04911,1.04923,1.04911,1.04915,33,0
1.04911,1.04923,1.04911,1.04913,38,0
1.04911,1.04923,1.04911,1.04914,43,0
1.04911,1.04923,1.0491,1.04911,48,0
1.04911,1.04923,1.04909,1.04916,53,0
1.04911,1.04923,1.04909,1.04914,58,0
1.04911,1.04923,1.04908,1.04906,63,1
1.04911,1.04923,1.04904,1.04905,68,1
1.04911,1.04923,1.04904,1.04915,73,0
1.04911,1.04912,1.04911,1.04908,5,1
1.04911,1.04913,1.04901,1.04904,10,1
1.04911,1.04913,1.04901,1.04907,15,1
1.04911,1.04913,1.04901,1.04908,20,1
1.04911,1.04913,1.04901,1.04911,25,0
1.04911,1.04913,1.04901,1.04913,30,0
1.04911,1.04913,1.04901,1.04907,35,1
1.04911,1.04913,1.04901,1.04904,40,1
1.04911,1.04913,1.04897,1.04898,46,1
1.04911,1.04913,1.04894,1.04902,51,1
1.04911,1.04913,1.04894,1.04897,56,1
1.04911,1.04913,1.04894,1.04893,61,1
1.04911,1.04913,1.04888,1.0489,1,1
1.04892,1.04893,1.04891,1.04899,6,0
1.04892,1.049,1.04891,1.04902,11,0
1.04892,1.04902,1.04891,1.04898,16,0
1.04892,1.04902,1.04891,1.04904,21,0
1.04892,1.04914,1.04891,1.04916,26,0
1.04892,1.04917,1.04891,1.04914,31,0
1.04892,1.04917,1.04891,1.04918,36,0
1.04892,1.04919,1.04891,1.04919,41,0
1.04892,1.04919,1.04891,1.04918,46,0
1.04892,1.04919,1.04891,1.04918,51,0
1.04892,1.04919,1.04891,1.04919,56,0
1.04892,1.04919,1.04891,1.04917,61,0
